win,time,score,enemies_algotithm,pacman_algorithm
False,0.046000003814697266,140,bfs,a-star
True,0.4460015296936035,8480,bfs,a-star
True,0.3540022373199463,9500,bfs,a-star
False,0.022000789642333984,100,bfs,a-star
True,0.4829995632171631,9700,bfs,a-star
True,0.4195103645324707,9080,bfs,a-star
False,0.07499957084655762,380,bfs,a-star
True,0.3710002899169922,7500,bfs,a-star
True,0.46399927139282227,10620,bfs,a-star
True,0.3989994525909424,8250,bfs,a-star
True,0.41700029373168945,10870,bfs,a-star
True,0.5052905082702637,9040,bfs,a-star
False,0.05700039863586426,240,bfs,a-star
True,0.4089994430541992,8650,bfs,a-star
False,0.015999317169189453,80,bfs,a-star
True,0.3400001525878906,9450,bfs,a-star
True,0.3259999752044678,7500,bfs,a-star
False,0.031999826431274414,10,bfs,a-star
True,0.47099876403808594,11130,bfs,a-star
True,0.46200013160705566,8970,bfs,a-star
False,0.014998912811279297,20,bfs,a-star
False,0.02299976348876953,80,bfs,a-star
False,0.020001649856567383,30,bfs,a-star
True,0.33500003814697266,8270,bfs,a-star
True,0.3670003414154053,10320,bfs,a-star
False,0.003999948501586914,10,bfs,a-star
False,0.017006635665893555,40,bfs,a-star
True,0.3549976348876953,9840,bfs,a-star
True,0.34200263023376465,9490,bfs,a-star
False,0.010998725891113281,20,bfs,a-star
False,0.003998279571533203,0,bfs,a-star
False,0.031000137329101562,110,bfs,a-star
True,0.3399984836578369,8570,bfs,a-star
True,0.3299977779388428,8350,bfs,a-star
False,0.06699872016906738,20,bfs,a-star
False,0.005997180938720703,10,bfs,a-star
False,0.06499981880187988,90,bfs,a-star
False,0.037999629974365234,140,bfs,a-star
True,0.46899962425231934,13410,bfs,a-star
False,0.04300045967102051,350,bfs,a-star
True,0.4069995880126953,10290,bfs,a-star
True,0.42600011825561523,11440,bfs,a-star
True,0.3335080146789551,9160,bfs,a-star
True,0.3699984550476074,9880,bfs,a-star
True,0.318021297454834,10240,bfs,a-star
True,0.3615102767944336,9530,bfs,a-star
True,0.3059988021850586,6290,bfs,a-star
True,0.3190011978149414,7100,bfs,a-star
True,0.43201756477355957,12250,bfs,a-star
True,0.39999985694885254,11050,bfs,a-star
True,0.3659999370574951,10290,bfs,a-star
False,0.006999492645263672,10,bfs,a-star
False,0.009999990463256836,30,bfs,a-star
True,0.41299962997436523,11220,bfs,a-star
True,0.33899664878845215,8230,bfs,a-star
True,0.3569984436035156,11010,bfs,a-star
True,0.3809969425201416,11390,bfs,a-star
True,0.3710019588470459,10130,bfs,a-star
True,0.4559977054595947,9840,bfs,a-star
True,0.3429996967315674,9860,bfs,a-star
True,0.4100000858306885,14320,bfs,a-star
True,0.342998743057251,7080,bfs,a-star
False,0.004000663757324219,0,bfs,a-star
True,0.36699914932250977,10290,bfs,a-star
False,0.023999691009521484,110,bfs,a-star
True,0.3090016841888428,9540,bfs,a-star
True,0.34000110626220703,8560,bfs,a-star
False,0.04599928855895996,190,bfs,a-star
False,0.034999847412109375,60,bfs,a-star
True,0.3429996967315674,10630,bfs,a-star
False,0.02200174331665039,10,bfs,a-star
False,0.004001140594482422,10,bfs,a-star
True,0.43187832832336426,11110,bfs,a-star
True,0.2759993076324463,4910,bfs,a-star
True,0.3650021553039551,7390,bfs,a-star
True,0.4009976387023926,10660,bfs,a-star
True,0.37000083923339844,12260,bfs,a-star
True,0.33700013160705566,10190,bfs,a-star
True,0.38500046730041504,13030,bfs,a-star
True,0.3900024890899658,9430,bfs,a-star
True,0.381000280380249,12180,bfs,a-star
True,0.397998571395874,10610,bfs,a-star
True,0.3249974250793457,9420,bfs,a-star
True,0.3935093879699707,8590,bfs,a-star
True,0.37999677658081055,12620,bfs,a-star
True,0.395519495010376,10570,bfs,a-star
False,0.02699875831604004,120,bfs,a-star
True,0.35700058937072754,10240,bfs,a-star
False,0.009000778198242188,30,bfs,a-star
True,0.3899986743927002,9850,bfs,a-star
True,0.3900012969970703,10610,bfs,a-star
True,0.39499926567077637,11880,bfs,a-star
False,0.020999431610107422,160,bfs,a-star
True,0.4109988212585449,10270,bfs,a-star
True,0.40599918365478516,11240,bfs,a-star
False,0.010998249053955078,30,bfs,a-star
True,0.3619985580444336,11460,bfs,a-star
False,0.003999948501586914,10,bfs,a-star
True,0.4400005340576172,11420,bfs,a-star
True,0.3549997806549072,9140,bfs,a-star
True,0.2729990482330322,6180,bfs,a-star
True,0.3880002498626709,9570,bfs,a-star
False,0.0039997100830078125,10,bfs,a-star
True,0.3579998016357422,8610,bfs,a-star
True,0.3489980697631836,9070,bfs,a-star
False,0.023999929428100586,210,bfs,a-star
True,0.3838968276977539,9460,bfs,a-star
True,0.3840010166168213,8260,bfs,a-star
True,0.32399725914001465,11370,bfs,a-star
True,0.4569985866546631,9720,bfs,a-star
True,0.34200000762939453,11360,bfs,a-star
False,0.015001296997070312,50,bfs,a-star
False,0.032999515533447266,150,bfs,a-star
False,0.00999760627746582,90,bfs,a-star
True,0.42792487144470215,13320,bfs,a-star
False,0.009999990463256836,30,bfs,a-star
True,0.29799985885620117,7060,bfs,a-star
False,0.003995656967163086,0,bfs,a-star
True,0.38817262649536133,10280,bfs,a-star
True,0.4530010223388672,11460,bfs,a-star
False,0.004000186920166016,10,bfs,a-star
False,0.023998260498046875,130,bfs,a-star
True,0.4119997024536133,10610,bfs,a-star
